index,for/against,evidence-responsiveness
40611388,1,1
45612292,1,3
48055384,1,3
79691508,0,
73538649,-1,5
54183559,1,1
47438138,1,5
41667218,1,4
62412591,1,5
75074781,0,
42858779,0,
65817053,1,5
41138856,1,5
52312692,-1,5
18563594,0,
94273277,1,3
62529910,0,
17901682,1,4
21931192,1,1
74493395,0,
36430282,0,
44878835,0,
84674949,0,
69855237,1,2
49859595,1,1
23499119,1,1
45332144,0,
53150426,1,5
47644405,0,
54319448,0,
21580019,1,5
26839321,1,4
90417490,1,1
89023186,0,
89606746,0,
42862382,0,
74371983,0,
77918857,1,4
53746060,0,
29942811,-1,3
61959478,0,
80254348,0,
25852927,,
12931103,,
84818964,0,
23912395,0,
52656098,0,
29666118,,
11258401,,
10424419,,
23891365,,
96900916,0,
62578816,,
26735917,0,
72095828,0,
20310468,,
48639597,0,
58148243,1,1
82327067,1,4
20859778,,
15175970,1,1
30650057,0,
47155199,,
94472801,0,
53612872,0,
48901642,,
79029185,0,
97314207,0,
84243629,0,
63221143,0,
16798413,0,
17968780,-1,3
26976435,0,
99175983,0,
70249256,0,
92500591,,
66120166,-1,1
90638889,0,
26335347,,
31286259,-1,2
50204136,,
61919319,1,3
67227504,,
29672207,,
63090842,0,
16312333,0,
39847746,0,
64252346,1,2
49840364,1,1
24464192,,
26516452,,
46736557,,
17527663,1,3
13369974,0,
11942548,1,2
82339254,1,3
88609975,0,
45127017,,
47419264,0,
31478726,0,
80732615,0,
34719944,0,
25048182,1,3
96301097,1,1
48264299,1,4
12622434,1,1
38106519,0,
11377301,0,
61064406,0,
24898647,0,
71407282,0,
43538104,0,
27030205,,
28933995,,
13522981,,
22057769,1,2
86410708,0,
45809045,1,1
73782448,1,4
81066928,1,1
88630967,0,
23617084,0,
28513316,1,1
93362062,0,
94200480,0,
73362359,,
25329148,1,5
25365449,0,
52620055,1,1
46303144,1,1
