number,relevance,text
3051,0,"well, I was in japan, sendai specifically and I had with me some of [this](http://en.wikipedia.org/wiki/Poit%C3%ADn) if anyone here is familiar with the japanese they have a low toleriance for alchol. some even get drunk on alcholic choclates.so anyway I was in this korean bbq (yes korean restraunt in japan) and there was a good mood there, due to a confusion in the translation of my name the staff had mistaken me with european royalty. me and my group ate free, and strangers kept coming up to shake my hand all night.I use my free food drink privladges to buy everyone a round of beers, the mood picks up a few groups merge and were all drinking sharing tails I can't understand japanese and my translator is getting tired and drunk.....sooner or later I can't understand anything. this is when it happens...I GET BORED.theres this huge pot of miso soup that is like a communal help your self type thing and I dump my special irish alchol so alcholic its banned in ireland, into the communial soup pot.people got drunk fast like 30mins later people were fucked, someone must have known, because I never see people drink so much miso soup so fast.now korean bbq is a hot plate and in this place the plate was over a load of hot coals, hot coals and drunk people, some coals fell over, no fire started it was a stone floor, but everyone moved outside for it to be cleaned up.in japan they have these vending machines on the street and someone was trying to get a coke, the machine jammed, and he got rough with it, we were all drunk friends by now, so we all helped.4 guys tore down a stop sign to ram raid the vending machine, sucessfully. thats when I lost track of what was going on.people got naked, they started blocking traffic, and trowing cokes and canned coffee at people, one guy broke down crying...total dissarray.until the cops showed up, then everyone got organised and they got an agenda....do what ever the cops don't want you to do.the 4 guys who rammed the vending machine were still running around with the pole, I was using the sign that came off in the machine to defend against random projectiles and the guys with the pole rammed the cop car.thats about when a police van turned up, and did the whole police line thing and slowly walked towards the engraged mass of drunks.the restraunt staff ushered me in and out the back, I guess they didn't want royaltie getting arrested because of thier establishment.the stop sign, well I brought that back, and gave it to a friend as a sorry after I trashed his house, he liked japanese culture, and then It was robbed from his house at a party, and now its on its own merry journey around the world.
"
8056,1,"> is DUI only alcohol related? It shoudn't be. |It's not in most states and countries in the West. However it is much harder to establish intoxication when talking pot. The police can do tests , but it's not really viable on the spot atm.
"
8968,1,"You've got to put yourself in her shoes to understand. I know it's tough to think about but she comes from a generation that didn't have Internet like we do. If someone with authority told her that smoking weed is just as bad as heroin she'll tend to just believe it. Back in the day you just believed whatever fact was thrown at you because you couldn't google it. Now everyone is full of shit until its googled. She doesn't trust you so anything you say isn't going to convince her. You need to prove to her that you've done your research and you made an educated decision based off of facts. Showing her the union is a start but you need to back it up with actual scientific data. You guys need to have an open line of communication as well where you hear her concerns and you're able to voice yours. Once she starts to become too defensive cut the conversation off until it cools down then calmly try again until she sees what you're trying to present. Another issue is the legality of it all most parents don't want to bring criminal activity into their home. To us it's the risk we take but no good parent wants their child in jail. Good luck brother and fight the good fight, convincing your mum is one thing convincing the rest of the world is next.
"
17035,1,"I apologize if I wasn't clear. Let me try again.In order for the government to profit from legalization - e.g. from collecting taxes on marijuana sales - they have to make sure that legal marijuana is cheap and high-quality, so people will choose to buy legally (and pay taxes) instead of sticking with black market (and untaxed) dealers. Every sale in the black market is money lost to the government. Illegal dealers don't pay income tax, sales tax, payroll tax, etc - and people who are used to buying from dealers may continue to do so, as long as they don't have a good reason (lower prices! higher quality! convenience!) to buy legally.In other words, the government won't be growing marijuana - at least, I assume they won't be - but they still need to keep prices low and quality high in order to profit from the legalization of marijuana. Consider, in Canada, the case of tobacco taxes. In Ontario, maybe two or three decades ago, the government flirted with even higher taxes than today (note: my memory may be shoddy about actual facts here). What happened was that a lot of ordinary Ontarians began buying their cigarettes from smugglers (including one famous case of a native band whose reservation spanned the border with the U.S.), and the government's tax revenue went down, even though they had just raised taxes. Hence, in order to make more money off cigarettes, they lowered the price of cigarettes in Ontario.
"
18566,1,"I tend to agree with a lot of libertarian principles, but privatizing prison construction seems like a bad idea. Companies like to grow, and a private prison organization would likely find reasons to put more people in jail so they can justify more contracts. It's the standard argument against them, and you're probably familiar with it, but I think it outweighs any argument in favor of the inmates' safety (and an inmate in for something marijuana possession is far safer if he's not an inmate)Also, as Toots_o_Sunshine points out, I think they tend to be understaffed. Based on the quick bit of research I've done (mostly just [this wikipedia page](http://en.wikipedia.org/wiki/Private_prison)), there seems to be a lot of legislation aiming to either banning them or providing more oversight, and a lot of the criticism seems to address existing problems. Obviously more research into actual incidents would be good, but it seems like a bad idea.
"
19908,1,"Take over the duty of CFL and make the changes, take no prisoners. It is a touchy subject, but someone has to man up. Other than that, mind your own business and quit worrying about everyone else. Just kidding. Dumbest thing? There are so many, how do I choose? Forging repair party muster sheets in front of me/ smoking weed on aft lookout with cameras looking at them and the CO doing his nightly walk/Surfing porn on the comp/ cutting his own hair/ opening wrong valve and flooding hangar bay with foam/ I'm sure if I thought about it long enough something will come to mind that beats them all. Drunk, Naked and running down the street in Phuket with a bunch of hookers chasing my fellow chief. Apparently he didn't have the money to pay the 5 hookers he had at once and just bolted. No one got caught and we covered it up back on the ship.
"
21447,0,"Tyvärr kan jag inte namnet, men det är gubben som i en SVT-debatt om legalisering av cannabis i Sverige så klokt förklarade ett av sina motargument att ""Det börjar med en joint, och går över i hasch.""Vilket har blev otroligt uppmärksammat av övriga befolkningen som innehar en, iallafall, liten del av kunskap inom ämnet!
"
22065,1,"That's right, but once the decision is made to end criminal prosecutions, the government could choose to simply get out of the way entirely. My concern is that marijuana will end up in the same bungled situation in which alcohol remains, well after the ""end"" of Prohibition. In almost every province, one is still restricted to purchasing most alcohol at government stores, and with massive taxes levied on said purchases. Even transporting alcohol across provincial lines puts one in potential [peril at the hands of the local tax collectors](http://www.cbc.ca/news/canada/new-brunswick/story/2013/01/28/nb-liquor-laws-importing-618.html). So I am essentially hoping for a radical departure from that kind of thinking.
"
27594,1,"I'm eager to see if anything will be legalized next. Like, cannabis seems like it could be any day now, and lsd seems like it could never happen.Sort of exciting, but depressing.
"
28777,1,"Hate to be a Debbie Downer, but he probably won't be able to get any financial aid now (in the worst case scenario). It's sickening. In East Germany, if you spoke out against the government, you weren't allowed to go to university. In the US if you get caught with a felony amount of pot, you can't get financial aid, which usually means no college.
"
